Ground_Truth,airplane,apple,backpack,banana,baseball bat,baseball glove,bear,bed,bench,bicycle,bird,boat,book,bottle,bowl,broccoli,bus,cake,car,carrot,cat,cell phone,chair,clock,couch,cow,cup,dining table,dog,donut,elephant,fire hydrant,fork,frisbee,giraffe,hair drier,handbag,horse,hot dog,keyboard,kite,knife,laptop,microwave,motorcycle,mouse,orange,oven,parking meter,person,pizza,potted plant,refrigerator,remote,sandwich,scissors,sheep,sink,skateboard,skis,snowboard,spoon,sports ball,stop sign,suitcase,surfboard,teddy bear,tennis racket,tie,toaster,toilet,toothbrush,traffic light,train,truck,tv,umbrella,vase,wine glass,zebra,other
skateboard,34,0,8,2,12,6,1,1,48,20,3,5,3,6,1,0,0,2,1,0,0,14,12,1,0,0,1,3,6,0,1,9,0,3,0,0,13,0,1,0,8,13,0,0,36,0,0,0,0,48,0,0,0,5,0,3,0,1,150,49,26,3,1,0,34,47,2,23,3,0,2,1,3,0,14,0,1,3,1,1,0
skis,15,0,4,0,4,0,0,0,8,6,1,6,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,17,4,1,0,5,0,0,0,0,15,0,0,0,0,0,1,0,0,20,169,149,0,0,0,1,22,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
snowboard,5,0,3,0,3,0,0,0,4,0,1,5,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,4,0,0,4,0,0,0,0,13,0,0,0,0,0,1,0,0,8,62,49,0,0,0,3,30,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0
spoon,1,2,1,2,2,0,0,0,0,0,2,0,5,8,46,0,0,9,0,4,0,5,6,0,0,0,18,6,0,2,0,0,134,2,0,1,2,0,0,0,0,121,1,0,1,4,2,1,0,2,1,0,0,1,3,24,0,0,3,1,1,139,0,0,0,0,0,4,1,0,0,24,0,0,0,0,0,5,9,0,0
sports ball,1,79,3,9,16,24,0,0,1,0,7,3,1,3,14,0,0,1,3,0,0,2,4,2,1,0,11,1,0,5,1,0,0,56,0,1,2,0,0,0,16,0,0,0,1,4,55,0,0,25,0,2,0,2,0,0,32,1,0,0,0,0,142,8,0,2,2,16,0,0,2,0,7,0,1,0,13,16,0,0,0
stop sign,23,29,0,3,9,0,24,3,0,20,0,18,13,14,0,0,26,17,26,0,11,15,0,37,0,8,18,20,0,32,23,27,0,2,17,0,0,20,9,0,26,1,20,0,14,0,25,12,42,30,17,5,25,0,0,14,15,4,8,5,20,0,32,63,24,0,16,20,33,20,23,0,40,33,1,18,33,18,0,13,0
suitcase,1,0,144,0,1,8,0,22,48,5,0,12,13,7,3,0,8,6,43,0,1,9,117,1,31,0,5,17,3,0,0,1,0,0,0,0,134,0,0,1,6,1,19,5,32,4,0,18,12,31,0,0,16,1,1,0,0,2,18,4,12,0,1,3,238,11,1,0,4,3,10,1,9,8,21,6,13,4,0,0,0
surfboard,26,6,6,10,10,0,2,2,8,6,7,124,10,4,4,0,1,0,7,1,0,3,18,10,0,0,3,7,0,0,2,2,2,19,0,1,10,0,3,0,84,25,2,0,3,2,0,0,4,62,0,1,4,0,1,7,0,7,71,63,103,3,5,2,8,208,1,16,12,0,2,9,1,0,1,1,51,9,0,0,0
teddy bear,0,2,32,3,1,4,55,34,28,1,34,2,8,6,3,2,0,24,6,0,34,0,71,3,46,6,4,12,87,9,26,9,0,1,2,1,5,1,3,0,12,0,2,1,2,0,0,1,4,112,3,4,1,1,6,0,44,1,0,0,0,0,3,0,0,0,153,1,2,0,7,0,1,1,1,3,3,8,2,0,0
tennis racket,0,0,17,0,43,24,0,1,34,68,3,2,3,11,2,0,0,1,1,0,4,7,82,14,0,0,2,1,3,0,0,0,11,43,1,2,46,0,1,1,5,7,3,0,5,0,0,0,0,73,0,1,0,4,0,60,0,0,30,7,1,15,21,9,3,13,0,188,21,0,1,24,0,0,0,0,9,1,31,5,0
tie,0,0,14,4,4,1,0,2,0,2,3,0,7,3,0,0,0,0,0,4,2,5,12,1,2,0,3,4,1,0,0,0,8,1,3,0,42,0,3,1,7,19,0,0,0,0,0,0,0,23,2,0,0,3,0,7,0,0,2,4,6,8,1,2,0,4,0,7,162,0,0,2,0,0,0,0,26,13,1,0,0
toaster,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,1,0,4,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,4,1,1,0,3,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,8,2,0,0,0,0,0,0,1,0,0,0
