Ground_Truth,airplane,apple,backpack,banana,baseball bat,baseball glove,bear,bed,bench,bicycle,bird,boat,book,bottle,bowl,broccoli,bus,cake,car,carrot,cat,cell phone,chair,clock,couch,cow,cup,dining table,dog,donut,elephant,fire hydrant,fork,frisbee,giraffe,hair drier,handbag,horse,hot dog,keyboard,kite,knife,laptop,microwave,motorcycle,mouse,orange,oven,parking meter,person,pizza,potted plant,refrigerator,remote,sandwich,scissors,sheep,sink,skateboard,skis,snowboard,spoon,sports ball,stop sign,suitcase,surfboard,teddy bear,tennis racket,tie,toaster,toilet,toothbrush,traffic light,train,truck,tv,umbrella,vase,wine glass,zebra,other
knife,2,0,0,4,7,0,0,0,0,0,4,0,8,8,12,1,0,12,0,5,1,21,10,0,0,0,5,16,0,1,0,0,126,1,0,0,3,0,2,0,0,162,1,0,0,5,0,0,1,1,13,0,0,13,6,63,0,4,1,12,2,128,0,0,0,0,1,4,5,0,0,15,0,0,0,0,2,0,1,0,0
laptop,6,1,8,2,2,0,0,69,72,0,5,0,158,4,13,0,4,17,12,0,45,33,158,17,88,0,9,108,18,1,0,0,1,0,0,0,28,0,0,25,0,2,199,58,4,3,2,44,6,57,9,1,55,11,6,4,0,16,2,0,1,0,0,0,102,1,16,7,6,13,51,0,5,2,30,93,2,1,10,0,0
microwave,0,0,0,0,0,0,0,1,1,0,0,0,6,0,2,0,2,0,2,0,0,8,4,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,47,0,0,0,43,1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,5,5,7,38,0,0,0,0,0
motorcycle,2,0,30,1,0,2,0,2,31,151,3,10,0,2,1,0,1,2,51,0,0,0,36,0,5,3,0,6,2,0,18,8,0,1,0,0,20,26,0,0,3,0,0,0,320,0,0,0,2,113,0,3,0,0,0,1,0,2,8,2,2,0,1,0,20,0,4,1,0,0,3,0,2,2,10,0,5,0,0,3,0
mouse,0,4,2,0,0,0,0,0,0,0,0,0,0,2,32,0,0,2,10,0,0,10,16,3,0,0,18,2,0,0,0,0,0,1,0,14,3,0,0,1,0,4,0,0,0,88,0,0,0,2,0,0,0,11,0,0,0,6,0,0,2,33,14,0,1,1,0,0,0,2,5,1,0,1,0,1,1,17,0,0,0
orange,0,65,0,17,0,0,1,0,0,0,0,1,0,1,38,1,0,7,0,38,0,0,0,0,0,0,10,8,0,11,0,0,0,6,0,0,0,0,6,0,0,1,0,0,0,1,208,0,0,9,0,1,0,0,6,0,0,0,0,0,0,1,21,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,1,0,0
oven,1,0,1,0,0,0,0,2,10,0,0,1,5,0,7,0,2,0,3,0,0,4,29,3,2,0,1,32,2,0,0,0,0,0,0,1,1,0,0,0,0,0,9,29,1,0,0,115,1,8,4,3,34,0,0,0,0,11,0,0,0,1,0,0,12,0,0,0,0,1,5,0,1,1,5,20,0,1,0,0,0
parking meter,1,1,1,0,0,0,0,0,1,0,0,1,0,1,2,0,2,0,13,0,0,6,4,6,0,0,3,2,0,0,0,4,0,2,0,1,1,0,0,0,2,0,1,2,6,1,1,3,48,2,0,0,2,4,0,0,0,0,1,0,1,0,1,6,6,2,0,1,0,0,5,0,9,8,1,3,0,4,1,0,0
person,67,4,442,11,75,33,21,446,683,240,275,193,20,56,16,2,95,18,485,3,159,12,2200,5,804,146,8,164,715,6,325,131,2,8,280,3,395,622,8,2,506,8,35,24,560,2,0,180,42,9503,9,81,528,9,10,8,107,15,67,543,156,7,8,9,172,406,580,92,31,0,60,5,20,111,179,80,285,23,11,238,0
pizza,0,4,0,8,0,1,1,7,3,0,1,1,25,0,124,6,1,106,1,3,0,1,3,11,2,0,4,93,1,29,0,1,8,4,1,0,1,0,26,6,0,19,2,0,0,0,1,41,0,30,233,2,2,0,132,1,0,1,0,0,0,9,0,3,1,4,1,0,1,0,1,1,0,0,1,3,4,5,0,0,0
