Ground_Truth,airplane,apple,backpack,banana,baseball bat,baseball glove,bear,bed,bench,bicycle,bird,boat,book,bottle,bowl,broccoli,bus,cake,car,carrot,cat,cell phone,chair,clock,couch,cow,cup,dining table,dog,donut,elephant,fire hydrant,fork,frisbee,giraffe,hair drier,handbag,horse,hot dog,keyboard,kite,knife,laptop,microwave,motorcycle,mouse,orange,oven,parking meter,person,pizza,potted plant,refrigerator,remote,sandwich,scissors,sheep,sink,skateboard,skis,snowboard,spoon,sports ball,stop sign,suitcase,surfboard,teddy bear,tennis racket,tie,toaster,toilet,toothbrush,traffic light,train,truck,tv,umbrella,vase,wine glass,zebra,other
horse,0,0,10,0,0,3,7,0,12,4,40,3,0,1,0,0,0,1,4,0,4,0,23,0,1,123,0,2,94,1,77,0,0,0,27,0,4,246,0,0,5,1,0,0,9,0,0,1,0,127,0,0,0,0,1,0,61,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,5,0,1,1,0,107,0
hot dog,0,17,0,12,0,1,0,1,1,0,0,2,4,3,31,1,0,46,0,22,1,0,4,0,0,0,0,18,0,33,0,0,4,1,0,0,3,0,88,0,0,11,0,0,0,0,9,6,0,15,35,0,0,1,70,0,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keyboard,0,0,1,0,0,0,0,12,5,0,0,3,43,0,0,0,0,4,3,0,2,32,10,0,7,0,0,9,0,0,0,0,0,0,1,0,3,0,0,135,0,0,31,3,0,3,0,9,0,0,3,0,0,63,0,0,0,2,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,1,2,3,0,0,0,0,0
kite,32,1,5,0,0,1,0,1,0,1,21,7,6,0,1,0,0,1,0,0,0,0,7,0,0,1,2,0,0,0,0,0,0,1,1,0,8,2,0,0,253,2,2,0,1,0,0,0,0,24,0,0,0,0,0,1,1,0,1,3,5,0,2,5,1,12,1,2,1,0,0,0,22,0,0,1,28,1,0,2,0
knife,0,0,0,3,6,0,0,0,0,0,4,0,8,13,12,1,0,8,0,4,1,21,6,0,0,0,8,7,0,1,0,0,126,1,0,1,3,0,2,0,0,163,3,0,0,6,0,0,1,1,6,0,0,13,6,62,0,4,0,11,1,128,0,0,0,0,1,4,4,0,0,17,0,0,0,0,1,0,1,0,0
laptop,2,0,4,0,0,0,0,74,60,0,1,0,145,3,8,0,1,10,7,0,44,147,158,7,85,0,5,104,9,0,0,0,0,0,0,0,14,0,0,25,0,1,200,58,1,3,0,44,2,45,6,3,55,16,0,0,0,15,1,0,0,0,0,0,92,0,10,1,0,13,58,0,3,0,19,93,2,0,3,0,0
microwave,0,0,0,0,0,0,0,1,1,0,0,0,5,0,2,0,3,0,2,0,0,12,5,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,47,0,0,0,43,0,0,0,0,7,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,2,0,0,5,5,7,38,0,0,0,0,0
motorcycle,2,0,22,1,0,2,0,2,20,150,2,19,0,2,1,0,1,2,51,0,0,0,36,0,3,1,0,6,1,0,15,2,0,1,0,0,18,7,0,0,1,0,0,0,320,0,0,0,0,111,0,1,0,0,0,1,0,2,5,1,1,0,1,0,17,0,1,1,0,0,3,0,1,2,9,0,5,0,0,0,0
mouse,0,4,1,0,0,0,0,0,0,0,0,0,0,2,33,0,0,1,10,0,0,42,15,3,0,0,18,2,0,0,0,0,0,1,0,14,2,0,0,1,0,4,0,0,0,88,0,0,0,0,0,0,0,66,0,0,0,6,0,0,0,33,11,0,1,1,0,0,0,2,5,1,0,1,0,1,0,16,0,0,0
orange,0,64,0,17,0,0,1,0,0,0,0,1,0,2,17,1,0,6,0,66,0,0,0,0,0,0,12,5,0,22,0,0,0,6,0,0,0,0,9,0,0,1,0,0,0,1,208,0,0,8,0,1,0,0,9,0,0,0,0,0,0,0,21,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,1,0,0
oven,1,0,1,0,0,0,0,2,8,0,0,1,5,0,7,0,2,0,3,0,0,4,28,3,2,0,1,32,2,0,0,0,0,0,0,1,1,0,0,0,0,0,9,29,1,0,0,115,1,8,2,3,34,0,0,0,0,14,0,0,0,1,0,0,12,0,0,0,0,1,5,0,1,1,5,20,0,0,0,0,0
